,date,day,desc,humidity,precip,temp,wind
0,JUN 12,Tonight,Showers Early,72%,40%,--47°,SSE 10 mph 
1,JUN 13,Thu,Sunny,60%,0%,59°47°,SSE 6 mph 
2,JUN 14,Fri,Sunny,62%,0%,64°48°,SSE 7 mph 
3,JUN 15,Sat,Sunny,71%,10%,64°51°,WNW 7 mph 
4,JUN 16,Sun,Sunny,63%,0%,67°53°,NNW 14 mph 
5,JUN 17,Mon,AM Showers,78%,40%,63°52°,WNW 9 mph 
6,JUN 18,Tue,Partly Cloudy,67%,10%,68°55°,NNW 9 mph 
7,JUN 19,Wed,Mostly Cloudy,63%,0%,69°57°,NNW 17 mph 
8,JUN 20,Thu,AM Showers,78%,60%,64°55°,NW 16 mph 
9,JUN 21,Fri,Partly Cloudy,71%,20%,62°51°,WNW 14 mph 
10,JUN 22,Sat,AM Showers,71%,50%,61°50°,W 13 mph 
11,JUN 23,Sun,Partly Cloudy,71%,20%,61°50°,W 12 mph 
12,JUN 24,Mon,Sunny,71%,20%,63°51°,WNW 11 mph 
13,JUN 25,Tue,Mostly Sunny,70%,20%,63°52°,NW 12 mph 
14,JUN 26,Wed,Sunny,68%,10%,65°53°,NNW 11 mph 
