cities,lat,lon,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Vancouver,49.24966,-123.119339,0.0,0.0,0.0,0.0,0.5,0.75,0.75,0.75,0.5,0.25,0.0,0.0
Portland,45.523449,-122.676208,0.0,0.0,0.0,0.25,0.5,0.75,0.75,0.75,0.75,0.25,0.0,0.0
San Francisco,37.774929,-122.419418,0.25,0.25,0.5,0.5,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.25
Seattle,47.606209,-122.332069,0.0,0.0,0.0,0.25,0.5,0.75,0.75,0.75,0.75,0.25,0.0,0.0
Los Angeles,34.052231,-118.243683,0.25,0.5,0.5,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.25
San Diego,32.715328,-117.157257,0.25,0.5,0.5,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.25
Las Vegas,36.174969,-115.137222,0.0,0.25,0.75,0.75,0.75,1.0,1.0,1.0,1.0,0.75,0.25,0.0
Phoenix,33.44838,-112.074043,0.25,0.5,0.75,0.75,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.25
Albuquerque,35.084492,-106.651138,0.0,0.0,0.0,0.25,0.75,0.75,0.75,0.75,0.75,0.25,0.0,0.0
Denver,39.739151,-104.984703,0.0,0.0,0.0,0.0,0.25,0.75,0.75,0.75,0.75,0.0,0.0,0.0
San Antonio,29.42412,-98.493629,0.25,0.5,0.75,0.75,0.75,1.0,1.0,1.0,1.0,0.75,0.75,0.25
Dallas,32.783058000000004,-96.806671,0.0,0.25,0.5,0.75,0.75,1.0,1.0,1.0,1.0,0.75,0.5,0.0
Houston,29.763281,-95.363274,0.25,0.5,0.75,0.75,0.75,1.0,1.0,1.0,1.0,0.75,0.75,0.5
Kansas City,39.099731,-94.578568,0.0,0.0,0.0,0.5,0.75,1.0,1.0,1.0,0.75,0.5,0.0,0.0
Minneapolis,44.979969,-93.26384,0.0,0.0,0.0,0.0,0.5,0.75,0.75,0.75,0.75,0.0,0.0,0.0
Saint Louis,38.62727,-90.197891,0.0,0.0,0.0,0.5,0.75,1.0,1.0,1.0,0.75,0.5,0.0,0.0
Chicago,41.850029,-87.650047,0.0,0.0,0.0,0.0,0.5,0.75,0.75,0.75,0.75,0.5,0.0,0.0
Nashville,36.16589000000001,-86.784439,0.0,0.0,0.0,0.75,0.75,1.0,1.0,1.0,0.75,0.75,0.0,0.0
Indianapolis,39.768379,-86.158043,0.0,0.0,0.0,0.25,0.75,0.75,0.75,0.75,0.75,0.5,0.0,0.0
Atlanta,33.749001,-84.387978,0.0,0.0,0.25,0.75,0.75,1.0,1.0,1.0,0.75,0.75,0.25,0.0
Detroit,42.331429,-83.045753,0.0,0.0,0.0,0.0,0.5,0.75,0.75,0.75,0.75,0.25,0.0,0.0
Jacksonville,30.33218,-81.655647,0.5,0.5,0.75,0.75,0.75,1.0,1.0,1.0,1.0,0.75,0.75,0.75
Charlotte,35.227089,-80.843132,0.0,0.0,0.25,0.75,0.75,1.0,1.0,1.0,0.75,0.75,0.0,0.0
Miami,25.774269,-80.193657,0.75,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75
Pittsburgh,40.44062,-79.995888,0.0,0.0,0.0,0.25,0.75,0.75,0.75,0.75,0.75,0.25,0.0,0.0
Toronto,43.700111,-79.416298,0.0,0.0,0.0,0.0,0.5,0.75,0.75,0.75,0.75,0.25,0.0,0.0
Philadelphia,39.952339,-75.163788,0.0,0.0,0.0,0.25,0.75,0.75,1.0,0.75,0.75,0.5,0.0,0.0
New York,40.714272,-74.005966,0.0,0.0,0.0,0.25,0.75,0.75,1.0,0.75,0.75,0.5,0.0,0.0
Montreal,45.508839,-73.587807,0.0,0.0,0.0,0.0,0.5,0.75,0.75,0.75,0.75,0.25,0.0,0.0
Boston,42.358429,-71.05976899999997,0.0,0.0,0.0,0.0,0.5,0.75,0.75,0.75,0.75,0.5,0.0,0.0
Beersheba,31.25181,34.791302,0.0,0.25,0.5,0.75,0.75,0.75,1.0,1.0,0.75,0.75,0.5,0.25
Tel Aviv District,32.083328,34.799999,0.5,0.5,0.75,0.75,0.75,1.0,1.0,1.0,1.0,0.75,0.75,0.5
Eilat,29.55805,34.948212,0.5,0.5,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.5
Haifa,32.815559,34.98917,0.5,0.75,0.75,0.75,0.75,1.0,1.0,1.0,1.0,1.0,0.75,0.75
Nahariyya,33.005859,35.09409,0.5,0.5,0.75,0.75,0.75,1.0,1.0,1.0,1.0,0.75,0.75,0.5
Jerusalem,31.769039000000006,35.216331,0.25,0.5,0.75,0.75,0.75,1.0,1.0,1.0,1.0,0.75,0.75,0.5
