,City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Country,Latitude,Longitude
0,Vancouver,3.4357876574126642,4.786692577789035,7.005815686466109,9.65897910927669,13.721250007536074,16.228407590553605,18.97603923382183,19.105955895921,15.277139021301991,10.627567299537649,6.234032486708363,3.118192186748145,Canada,49.24966,-123.119339
1,Portland,3.583184165083628,6.009428147637708,8.547858637510766,10.667126604288061,14.56523728818928,17.353579741232178,20.32485479221801,20.783623154183346,16.83550956307721,11.678423346700738,8.081417097920667,4.074660771510232,United States,45.523449,-122.676208
2,San Francisco,10.30638680004441,11.837995386045776,13.281085972417461,14.309154385080873,15.841685309260226,17.856090626268863,19.47170181132821,18.86033921271075,18.96725308718582,16.173920088978182,12.783778547341086,10.02020219190296,United States,37.774929,-122.419418
3,Seattle,4.4393147733967915,5.965782662513023,7.9243233462637255,10.183814122416967,13.94170818090113,16.4365080918911,18.899279088139114,19.186526409797025,15.686096418548004,11.237759384755519,7.365637250360024,4.258084797643582,United States,47.606209,-122.33206899999999
4,Los Angeles,12.410478551895723,13.581205363370593,15.487277037700688,16.4771843474556,17.844682821259205,20.871610908840616,23.27553156836616,23.22490753099227,22.743929179165043,18.878351679636502,15.459219087099184,12.066750229326141,United States,34.052231,-118.243683
5,San Diego,12.294258368776392,13.408240863447439,14.967417773760545,15.795890950505274,17.073795499031416,19.346027675677263,21.837231852006497,22.037755098117767,21.676690756119488,18.63541233383761,15.340914812992377,12.176844220198435,United States,32.715328,-117.157257
6,Las Vegas,7.159599258281743,10.672674383150994,15.58436669925219,18.437180657427223,22.915886573876026,30.825529247239963,33.118569814011835,30.577004522598926,25.98655175393451,18.35024071742398,12.118125036732637,6.629791240716697,United States,36.174969,-115.137222
7,Phoenix,11.052732005901325,14.221804729399244,18.675838370158452,21.41634896122628,25.469909500847045,32.38261663255389,34.08926570698118,32.35903034357929,28.95160372063548,22.679256192443997,16.564706150275317,10.859068938872564,United States,33.44838,-112.07404299999999
8,Albuquerque,0.7685584837830847,4.605794281893328,9.36687675144463,12.502280477447238,16.21948588849521,23.53779793730431,23.380024920053923,20.943885766323422,18.680166289403864,12.566417457675644,6.537195736293255,1.2547920368795908,United States,35.084492,-106.65113799999999
9,Denver,-0.8108855518343874,0.7513748373629083,5.005620415918839,7.837653480699749,12.128959807988188,19.773068195303864,22.136624138802745,20.260002238638474,17.173915105559473,9.408189656186943,4.53632421683411,-1.3737495882989053,United States,39.739151,-104.984703
10,San Antonio,10.699854354445188,13.910169501713954,16.96662665448007,20.734570790572533,23.34730294430702,27.156601923544716,28.86100901551297,28.8404214241535,26.237508929816638,22.10288446609932,16.33158520867636,12.60527678426591,United States,29.424120000000002,-98.493629
11,Dallas,7.950642053199479,10.775672053125298,14.372022323292901,18.80563332870862,22.334601043392304,27.554576360771705,29.446537477082103,29.27611993851186,26.491353992432796,20.348444999535815,14.060555585157333,9.60047514519276,United States,32.783058000000004,-96.806671
12,Houston,11.765931896565885,14.420940101807945,17.401127789141693,20.88115233485303,23.88178739698222,27.558699307556775,28.83131149536661,28.5334175007017,26.503710355822026,22.18775863751602,16.93375441090928,13.946930299995152,United States,29.763281,-95.363274
13,Kansas City,-0.07331098970723544,1.1563753593303983,7.620106430763237,13.300185718644826,18.082487168342563,24.28366439408486,25.492836886042248,24.293670597008962,21.918721766733906,15.160809073537457,8.58912541517978,2.0073501504534965,United States,39.099731,-94.578568
14,Minneapolis,-8.961089714308917,-7.985318421540533,-0.27251696194269254,7.238447159756415,14.398712920392505,20.17946619555841,22.179521351255055,20.841638324884425,17.7890717340447,9.385518177672648,1.5228541496348813,-5.858748278291628,United States,44.979969,-93.26384
15,Saint Louis,0.4890021464674965,0.9954873145812843,6.840959004757545,14.156644827374464,18.948696451962142,24.407886522915387,25.382695622290363,24.347318772415424,21.512423177817507,14.751365872639202,7.6875637959141425,2.9533134084489516,United States,38.62727,-90.197891
16,Chicago,-3.4703215679980954,-3.6764259615803607,1.9777267602006656,9.035442759444736,14.798768897537347,19.913784614160036,22.5675804273277,22.14497888183299,19.646219418505314,12.94167383481559,5.507099435159436,0.5323136109244822,United States,41.850029,-87.650047
17,Nashville,3.8797715483906474,4.88668801318324,9.639278395690035,16.254520237127252,20.107791513981745,24.63472013463666,25.809449759781856,24.8442226053248,22.086672445992498,16.23458120853948,9.611883207314607,7.336653961792181,United States,36.165890000000005,-86.784439
18,Indianapolis,-1.699150148481971,-1.5477333170697138,4.3179151094690935,12.246472005251954,17.75763937554356,22.582198741707884,23.135597705833767,22.78199264467849,19.58318165541948,12.932284406989629,5.727944876310215,1.750666954878247,United States,39.768378999999996,-86.158043
19,Atlanta,6.286216470053795,7.557680650058822,11.989128042725818,17.21490728394862,20.73131176272479,24.757795512129274,25.768748993382722,25.107097454885288,22.58977147762264,17.189087854160157,11.106911210018136,9.58433334163014,United States,33.749001,-84.387978
20,Detroit,-3.7638124008341203,-4.282070827866122,0.828885922512658,8.389709323680295,15.512707812102967,20.25568253819561,22.532160230878024,21.668870369610563,18.51452598505113,12.196790168677204,4.986321205945581,0.6004380891347045,United States,42.331429,-83.045753
21,Jacksonville,13.434552535639263,14.46156323841971,16.943331809053703,21.21016040134383,23.829149611164784,26.766236746113403,27.716322917717292,27.495790058525486,25.882772979680915,22.42702729815724,17.667046450122548,16.39304959598977,United States,30.332179999999997,-81.655647
22,Charlotte,5.074176640338199,6.377007474776318,10.46072649403439,16.47886866570112,20.206875400498095,24.4793567149808,25.634056271696497,24.548524200282845,21.86665862279672,16.238396509491878,9.668369486876195,8.436676409625232,United States,35.227089,-80.843132
23,Miami,20.75863259999499,21.138262542172892,22.370814094603883,24.82356676312751,26.20615346351594,27.45263880361976,28.438306628508847,28.53971691252734,27.78787437388133,26.15849655129512,23.298269441063162,22.966276501350887,United States,25.774269,-80.193657
24,Pittsburgh,-1.7038446478158387,-1.5527180399518166,3.380047539294005,11.297544249706378,16.462807624979604,20.64372327580971,22.17300422770219,21.139497163146757,18.30330544720862,12.480436551539649,5.396898328311393,2.8073748055215306,United States,40.44062,-79.995888
