City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Country,Latitude,Longitude
Vancouver,0.26908602150537636,0.28102836879432624,0.35,0.31416666666666665,0.22123655913978493,0.255,0.12526881720430108,0.15806451612903225,0.20416666666666666,0.2699724517906336,0.26166666666666666,0.33198924731182794,Canada,49.24966,-123.119339
Portland,0.2838709677419355,0.3037825059101655,0.32231182795698926,0.34055555555555556,0.2346774193548387,0.19916666666666666,0.04381720430107527,0.12016129032258065,0.1986111111111111,0.3034894398530762,0.3088888888888889,0.3774193548387097,United States,45.523449,-122.676208
San Francisco,0.12876344086021504,0.18853427895981087,0.1314516129032258,0.1338888888888889,0.13709677419354838,0.1225,0.07903225806451612,0.09596774193548387,0.09472222222222222,0.14600550964187328,0.12611111111111112,0.21854838709677418,United States,37.774929,-122.419418
Seattle,0.2747311827956989,0.34544917257683216,0.3650537634408602,0.3138888888888889,0.20913978494623656,0.1786111111111111,0.0696236559139785,0.12150537634408602,0.21916666666666668,0.325068870523416,0.2886111111111111,0.3497311827956989,United States,47.606209,-122.33206899999999
Los Angeles,0.08440860215053764,0.10549645390070922,0.06693548387096775,0.06777777777777778,0.1032258064516129,0.03138888888888889,0.03978494623655914,0.012365591397849462,0.05416666666666667,0.05762167125803489,0.04666666666666667,0.12446236559139785,United States,34.052231,-118.243683
San Diego,0.08548387096774193,0.0783096926713948,0.058333333333333334,0.09,0.153494623655914,0.04555555555555556,0.03494623655913978,0.02956989247311828,0.03805555555555556,0.0645087235996327,0.06694444444444445,0.11854838709677419,United States,32.715328,-117.157257
Las Vegas,0.07016129032258064,0.04639479905437352,0.03602150537634408,0.06222222222222222,0.057526881720430106,0.022222222222222223,0.08010752688172043,0.08924731182795699,0.06666666666666667,0.023875114784205693,0.02666666666666667,0.05779569892473118,United States,36.174969,-115.137222
Phoenix,0.0728494623655914,0.03486997635933806,0.03387096774193549,0.027777777777777776,0.044623655913978495,0.02638888888888889,0.09247311827956989,0.1435483870967742,0.09666666666666666,0.03971533516988063,0.035833333333333335,0.06478494623655914,United States,33.44838,-112.07404299999999
Albuquerque,0.08413978494623656,0.05939716312056738,0.03951612903225806,0.058055555555555555,0.10215053763440861,0.11083333333333334,0.15672043010752687,0.1424731182795699,0.16444444444444445,0.07506887052341597,0.06,0.06182795698924731,United States,35.084492,-106.65113799999999
Denver,0.1454301075268817,0.15336879432624115,0.12204301075268817,0.1897222222222222,0.30376344086021506,0.205,0.19919354838709677,0.2161290322580645,0.16972222222222222,0.08516988062442608,0.058333333333333334,0.11881720430107527,United States,39.739151,-104.984703
San Antonio,0.15483870967741936,0.10726950354609929,0.1381720430107527,0.18694444444444444,0.2295698924731183,0.14055555555555554,0.07634408602150537,0.14704301075268816,0.18777777777777777,0.11730945821854913,0.13,0.1760752688172043,United States,29.424120000000002,-98.493629
Dallas,0.10887096774193548,0.12854609929078015,0.17311827956989248,0.2013888888888889,0.24166666666666667,0.14777777777777779,0.10376344086021505,0.18575268817204302,0.1486111111111111,0.12052341597796143,0.13805555555555554,0.13413978494623655,United States,32.783058000000004,-96.806671
Houston,0.1870967741935484,0.1702127659574468,0.20188172043010752,0.23,0.22473118279569892,0.22777777777777777,0.15456989247311828,0.2,0.18916666666666668,0.15381083562901746,0.13083333333333333,0.17983870967741936,United States,29.763281,-95.363274
Kansas City,0.08602150537634409,0.10697399527186761,0.13682795698924732,0.19111111111111112,0.246505376344086,0.18222222222222223,0.10940860215053763,0.15080645161290324,0.14166666666666666,0.15404040404040403,0.11916666666666667,0.1346774193548387,United States,39.099731,-94.578568
Minneapolis,0.18387096774193548,0.15986997635933806,0.1793010752688172,0.2802777777777778,0.2532258064516129,0.24944444444444444,0.12741935483870967,0.19919354838709677,0.19833333333333333,0.19031221303948576,0.17194444444444446,0.2521505376344086,United States,44.979969,-93.26384
Saint Louis,0.12419354838709677,0.12677304964539007,0.19919354838709677,0.2125,0.2086021505376344,0.17666666666666667,0.11370967741935484,0.1381720430107527,0.11472222222222223,0.15426997245179064,0.12416666666666666,0.1543010752688172,United States,38.62727,-90.197891
Chicago,0.20591397849462365,0.1388888888888889,0.15645161290322582,0.20805555555555555,0.1868279569892473,0.2563888888888889,0.11935483870967742,0.16048387096774194,0.14777777777777779,0.17056932966023874,0.15416666666666667,0.1868279569892473,United States,41.850029,-87.650047
Nashville,0.11317204301075269,0.14627659574468085,0.16612903225806452,0.1763888888888889,0.13306451612903225,0.1622222222222222,0.1196236559139785,0.17446236559139786,0.095,0.15977961432506887,0.10861111111111112,0.15403225806451612,United States,36.165890000000005,-86.784439
Indianapolis,0.18413978494623656,0.1716903073286052,0.1956989247311828,0.23194444444444445,0.19731182795698926,0.18805555555555556,0.0825268817204301,0.14327956989247312,0.1338888888888889,0.19444444444444445,0.11611111111111111,0.21801075268817205,United States,39.768378999999996,-86.158043
Atlanta,0.15645161290322582,0.1867612293144208,0.17903225806451614,0.225,0.15940860215053765,0.21222222222222223,0.15994623655913978,0.20188172043010752,0.15583333333333332,0.08700642791551882,0.1638888888888889,0.1793010752688172,United States,33.749001,-84.387978
Detroit,0.2682795698924731,0.191193853427896,0.1932795698924731,0.22444444444444445,0.2013440860215054,0.23583333333333334,0.12338709677419354,0.1879032258064516,0.15472222222222223,0.20202020202020202,0.2063888888888889,0.2271505376344086,United States,42.331429,-83.045753
Jacksonville,0.1596774193548387,0.14095744680851063,0.13333333333333333,0.13777777777777778,0.18521505376344086,0.24388888888888888,0.1456989247311828,0.23548387096774193,0.2338888888888889,0.10835629017447199,0.09694444444444444,0.1228494623655914,United States,30.332179999999997,-81.655647
