City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Country,Latitude,Longitude
Vancouver,1.9303763440860215,2.391548463356974,2.6943548387096774,2.589722222222222,1.9940860215053764,2.113611111111111,2.557258064516129,2.558483463296585,2.5073631564323424,2.4235537190082646,2.7544444444444443,2.6836021505376344,Canada,49.24966,-123.119339
Portland,2.1723118279569893,2.510047281323877,2.3276881720430107,2.0705555555555555,1.7481182795698924,1.4369444444444444,2.1043010752688174,1.6956989247311829,1.668611111111111,1.781172770164008,2.6530137305096577,2.40994623655914,United States,45.523449,-122.676208
San Francisco,2.35,3.1906028368794326,3.139516129032258,3.814722222222222,3.3989247311827957,2.238611111111111,2.827910728690508,2.5545698924731184,2.6233333333333335,2.295684113865932,2.3272222222222223,2.7951612903225804,United States,37.774929,-122.419418
Seattle,1.7129032258064516,2.3481087470449173,2.4545698924731183,2.310277777777778,1.9158602150537634,1.7458333333333333,2.068548387096774,1.8290322580645162,2.0494444444444446,2.141091889463042,2.4105189667209683,2.3940860215053763,United States,47.606209,-122.33206899999999
Los Angeles,1.1045698924731182,0.95951536643026,1.257258064516129,1.4644444444444444,1.5155913978494624,1.1894444444444445,1.6596774193548387,1.3190860215053763,1.2561111111111112,0.873736239047405,1.0153595531766348,1.104032258064516,United States,34.052231,-118.243683
San Diego,1.4475806451612903,1.7467494089834514,1.835752688172043,2.251388888888889,2.1059139784946237,1.5608333333333333,1.972043010752688,1.678225806451613,1.8180555555555555,1.5102224219276568,1.6129858040493368,1.5583333333333333,United States,32.715328,-117.157257
Las Vegas,2.164335664335664,2.2485224586288415,2.722431414739107,3.243400944706863,3.177293516276567,2.345833333333333,2.955621301775148,2.2306451612903224,2.262777777777778,2.020013492241961,2.17733302303933,2.1411290322580645,United States,36.174969,-115.137222
Phoenix,1.6556451612903227,1.6173167848699763,1.7483194407098683,2.2752777777777777,2.1588709677419353,2.0147222222222223,2.5551075268817205,2.049731182795699,2.0275,1.6659177712873512,1.6744240167558762,1.542741935483871,United States,33.44838,-112.07404299999999
Albuquerque,2.456451612903226,2.8847517730496453,3.23379069141781,3.775,3.216666666666667,2.6308333333333334,2.910483870967742,2.365322580645161,2.568888888888889,2.2599415861604135,2.614847568070747,2.402688172043011,United States,35.084492,-106.65113799999999
Denver,2.304301075268817,3.267730496453901,3.1505781123958054,3.1019444444444444,2.310483870967742,1.8163888888888888,2.2026881720430107,2.0422043010752686,2.2391666666666667,2.1718714895529097,2.394926693041657,2.3948924731182797,United States,39.739151,-104.984703
